zip_code_prefix,geo_lat,geo_lng,geo_city,geo_state,geo_point_count
1001,-23.550380539269455,-46.63402699777831,sao paulo,SP,26
1002,-23.548551065785627,-46.63507239078997,sao paulo,SP,13
1003,-23.54897652899767,-46.63531311226845,sao paulo,SP,17
1004,-23.549534948092827,-46.634770582289825,sao paulo,SP,22
1005,-23.54961248124544,-46.63653202553522,sao paulo,SP,25
1006,-23.550317224536897,-46.63622549584506,sao paulo,SP,9
1007,-23.55034858312654,-46.63734214071785,sao paulo,SP,26
1008,-23.545395979326535,-46.635598592835734,sao paulo,SP,16
1009,-23.54693540437998,-46.63658792659698,sao paulo,SP,41
1010,-23.545657005828375,-46.6346895341229,sao paulo,SP,18
1011,-23.546690486964888,-46.635446958807194,sao paulo,SP,21
1012,-23.54774227061568,-46.63488111172018,sao paulo,SP,17
1013,-23.547307871775622,-46.63423572661436,sao paulo,SP,20
1014,-23.546065945322862,-46.63358224756194,sao paulo,SP,54
1015,-23.54797349999999,-46.631701306827225,sao paulo,SP,10
1016,-23.549251053963594,-46.632135517086056,sao paulo,SP,12
1017,-23.54968991921072,-46.63111414126611,sao paulo,SP,41
1018,-23.550598321195395,-46.631879999999995,sao paulo,SP,8
1019,-23.55166351540767,-46.63093168887411,sao paulo,SP,25
1020,-23.552494470713864,-46.62960898251487,sao paulo,SP,66
1021,-23.544184662502165,-46.63214268206478,sao paulo,SP,23
1022,-23.544497629753593,-46.631461751457095,sao paulo,SP,17
1023,-23.542092880648095,-46.63137717319231,sao paulo,SP,20
1024,-23.541389521053937,-46.629899087812184,sao paulo,SP,7
1025,-23.540410813203355,-46.631264935195325,sao paulo,SP,15
1026,-23.539439503750906,-46.632843914149746,sao paulo,SP,39
1027,-23.538015199549932,-46.63043882598531,sao paulo,SP,28
1028,-23.536027749379617,-46.632878533585306,sao paulo,SP,17
1029,-23.541095849847075,-46.63297044005708,sao paulo,SP,8
1030,-23.538399296150907,-46.63297206480466,sao paulo,SP,22
1031,-23.542520789115148,-46.63533516134283,sao paulo,SP,31
1032,-23.540742303912527,-46.63525058950317,sao paulo,SP,45
1033,-23.540035348866123,-46.63581027505907,sao paulo,SP,47
1034,-23.54239162719593,-46.63745558840666,sao paulo,SP,25
1035,-23.540983825979165,-46.64256855760085,sao paulo,SP,39
1036,-23.541700023861782,-46.64131782056096,sao paulo,SP,38
1037,-23.545410010472594,-46.63881853301754,sao paulo,SP,26
1038,-23.544139809596672,-46.64041077352986,sao paulo,SP,9
1039,-23.5417538351319,-46.63976074078128,sao paulo,SP,19
1040,-23.5406306991459,-46.63784230127247,sao paulo,SP,14
1041,-23.543712849558617,-46.6402632336835,sao paulo,SP,25
1042,-23.54488036525475,-46.64032833172723,sao paulo,SP,40
1043,-23.545781968088136,-46.641376633648726,sao paulo,SP,13
1044,-23.545662511930896,-46.641384647440745,sao paulo,SP,18
1045,-23.542392919396363,-46.64280268887412,sao paulo,SP,36
1046,-23.546081127035535,-46.64381018541167,sao paulo,SP,141
1047,-23.54627311241268,-46.64122516971552,sao paulo,SP,42
1048,-23.547162090484132,-46.639559140501504,sao paulo,SP,44
1049,-23.547757368861436,-46.64021604302036,sao paulo,SP,21
1050,-23.54898587913322,-46.643139396906825,sao paulo,SP,102
1101,-23.526091267557256,-46.63137211754856,sao paulo,SP,3
1102,-23.52261021648681,-46.62942387523806,sao paulo,SP,27
1103,-23.535453394396647,-46.63170629156326,sao paulo,SP,40
1104,-23.53500886427381,-46.62963536441802,sao paulo,SP,19
1105,-23.534220153759595,-46.62957259920161,sao paulo,SP,15
